date,seconds,weather,simulation
10.05.2016 10:49,1008054,29.43,29.361522
10.05.2016 11:50,1011678,29.73,29.501456
10.05.2016 12:50,1015302,29.83,29.673027
10.05.2016 13:50,1018905,29.66,29.723382
10.05.2016 14:50,1022509,29.58,29.601172
10.05.2016 15:50,1026112,29.45,29.536658
10.05.2016 16:50,1029716,29.48,29.439628
10.05.2016 17:50,1033320,29.48,29.447815
10.05.2016 18:50,1036924,29.59,29.437006
10.05.2016 20:02,1041226,30.03,29.495948
10.05.2016 21:14,1045529,30.35,29.782547
10.05.2016 22:26,1049832,30.42,29.999923
10.05.2016 23:37,1054135,30.44,31.312266
11.05.2016 00:49,1058438,30.5,32.215282
11.05.2016 02:01,1062746,30.37,32.726195
11.05.2016 03:13,1067055,30.47,33.034422
11.05.2016 04:24,1071364,30.53,33.292914
11.05.2016 05:36,1075673,30.86,33.301067
11.05.2016 06:48,1079982,30.87,33.282961
11.05.2016 07:48,1083583,30.88,32.941154
11.05.2016 08:48,1087184,30.85,32.418585
11.05.2016 09:48,1090785,30.95,31.680828
11.05.2016 10:48,1094386,30.99,30.644972
11.05.2016 11:48,1097987,30.99,30.582286
11.05.2016 12:48,1101588,30.98,30.569143
11.05.2016 13:48,1105192,30.9,30.552274
11.05.2016 14:48,1108796,30.91,30.489566
11.05.2016 15:48,1112400,30.81,30.489052
11.05.2016 16:48,1116004,30.79,30.416881
11.05.2016 17:48,1119608,30.78,30.395646
11.05.2016 18:49,1123212,30.8,30.38314
11.05.2016 19:49,1126812,30.82,30.389235
11.05.2016 20:49,1130413,30.87,30.397871
11.05.2016 21:49,1134013,30.89,30.426695
11.05.2016 22:49,1137614,30.85,30.452563
11.05.2016 23:49,1141215,30.66,31.478516
12.05.2016 00:49,1144816,30.42,32.087804
12.05.2016 01:49,1148428,30.13,32.536842
12.05.2016 02:49,1152041,29.92,32.763975
12.05.2016 03:49,1155653,29.75,32.884524
12.05.2016 04:49,1159266,29.58,32.88502
12.05.2016 05:50,1162878,29.63,32.720201
12.05.2016 06:50,1166491,29.7,32.544178
12.05.2016 08:02,1170802,29.85,32.16475
12.05.2016 09:14,1175113,30.06,31.617188
12.05.2016 10:25,1179425,30,30.605846
12.05.2016 11:37,1183736,30.02,29.971081
12.05.2016 12:49,1188048,30.19,29.963481
12.05.2016 14:01,1192353,30.25,30.060764
12.05.2016 15:13,1196659,30.49,30.092286
12.05.2016 16:24,1200965,30.57,30.245885
12.05.2016 17:36,1205271,26.9,30.291552
12.05.2016 18:48,1209577,27,28.263107
12.05.2016 20:00,1213896,26,28.262451
12.05.2016 21:12,1218216,26.3,27.7493
12.05.2016 22:24,1222536,28,27.844447
12.05.2016 23:36,1226856,28.2,29.154217
13.05.2016 00:48,1231176,30,30.441204
13.05.2016 01:48,1234776,30,32.166463
13.05.2016 02:48,1238376,27.9,32.65864
13.05.2016 03:48,1241976,27,31.632697
13.05.2016 04:48,1245576,27,31.228409
13.05.2016 05:48,1249176,28.7,31.218821
13.05.2016 06:48,1252776,30,32.125137
13.05.2016 07:48,1256381,32,51.926921
13.05.2016 08:48,1259986,31.6,41.737052
13.05.2016 09:48,1263591,30,38.859098
13.05.2016 10:48,1267196,30,32.119764
13.05.2016 11:48,1270801,29,30.386592
13.05.2016 12:48,1274407,29,29.86526
13.05.2016 14:00,1278720,29,29.829794
13.05.2016 15:12,1283034,28.5,29.762178
13.05.2016 16:24,1287348,28,29.479415
13.05.2016 17:36,1291662,27.3,29.227259
13.05.2016 18:48,1295976,27,28.888651
13.05.2016 19:48,1299582,27,28.742816
13.05.2016 20:48,1303188,26.8,28.717525
13.05.2016 21:48,1306794,27,28.587848
13.05.2016 22:48,1310400,27,28.659917
13.05.2016 23:48,1314006,27.7,33.274427
14.05.2016 00:49,1317612,30,38.27511
14.05.2016 01:49,1321217,31,43.241005
14.05.2016 02:49,1324822,31.1,45.583636
14.05.2016 03:49,1328427,32,47.076336
14.05.2016 04:49,1332032,32,48.545192
14.05.2016 05:49,1335637,25.6,48.40261
14.05.2016 06:49,1339242,26,43.495675
14.05.2016 07:49,1342846,26,32.155151
14.05.2016 08:49,1346451,26,31.504969
14.05.2016 09:49,1350055,27,30.588487
14.05.2016 10:49,1353660,27,29.58529
14.05.2016 11:49,1357265,26.3,29.144811
14.05.2016 12:49,1360869,26,28.735365
14.05.2016 13:50,1364474,26,28.516497
14.05.2016 14:50,1368079,27.3,28.446739
14.05.2016 15:50,1371683,27,29.003152
14.05.2016 16:50,1375288,27,28.81613
14.05.2016 17:50,1378893,26.6,28.773927
14.05.2016 18:50,1382498,27,28.545117
14.05.2016 20:02,1386796,27,28.67037
14.05.2016 21:13,1391094,25.9,28.630668
14.05.2016 22:25,1395392,26,28.061695
14.05.2016 23:36,1399690,26.1,28.23422
15.05.2016 00:48,1403988,28,29.431857
15.05.2016 02:00,1408305,30,31.034976
15.05.2016 03:12,1412623,31.5,32.610224
15.05.2016 04:24,1416941,33,33.913714
15.05.2016 05:36,1421259,34,35.051218
15.05.2016 06:48,1425577,34,35.665691
15.05.2016 07:48,1429179,33,35.479656
15.05.2016 08:48,1432781,32.7,34.421872
15.05.2016 09:48,1436383,31,33.684785
15.05.2016 10:48,1439985,28,31.756055
15.05.2016 11:48,1443587,30.5,29.35835
15.05.2016 12:48,1447189,30,30.567408
15.05.2016 13:48,1450792,29,30.266966
15.05.2016 14:48,1454395,28,29.740824
15.05.2016 15:48,1457998,28,29.235736
15.05.2016 16:48,1461602,30,29.197391
15.05.2016 17:48,1465205,27.5,30.15719
15.05.2016 18:48,1468809,28,28.92384
15.05.2016 19:49,1472429,28,29.125276
15.05.2016 20:49,1476050,31.54,29.097659
15.05.2016 21:49,1479670,31.22,31.103891
15.05.2016 22:50,1483291,31.27,30.895551
15.05.2016 23:50,1486911,31.37,31.041288
16.05.2016 00:51,1490532,31.08,32.191691
16.05.2016 02:02,1494840,31.15,32.870854
16.05.2016 03:14,1499148,31.47,33.48554
16.05.2016 04:26,1503456,31.43,34.085074
16.05.2016 05:38,1507764,31.39,34.245676
16.05.2016 06:50,1512072,30.95,34.178743
16.05.2016 07:50,1515681,30.9,33.739261
16.05.2016 08:50,1519291,30.87,33.370058
16.05.2016 09:50,1522901,30.97,32.87728
16.05.2016 10:50,1526511,30.95,32.228406
16.05.2016 11:50,1530121,30.93,31.040862
16.05.2016 12:50,1533730,30.9,30.895233
16.05.2016 13:51,1537340,30.89,30.86122
16.05.2016 14:51,1540950,30.95,30.842731
16.05.2016 15:51,1544560,31.11,30.871082
16.05.2016 16:51,1548170,31.2,30.973783
16.05.2016 17:51,1551780,31.3,31.030395
16.05.2016 18:51,1555390,31.25,31.092948
16.05.2016 19:51,1558990,31.22,31.056156
16.05.2016 20:51,1562590,31.2,31.032113
16.05.2016 21:51,1566190,31.05,31.014342
16.05.2016 22:52,1569791,30.96,30.910085
16.05.2016 23:52,1573391,30.95,30.843838
17.05.2016 00:52,1576992,30.8,31.669649
